"co_seq_territorio","sg_uf","co_municipio_ibge","co_macrorregional","no_macrorregional","co_cir","no_cir_padrao","no_municipio","co_regiao_brasil","co_uf_ibge","no_regiao_brasil","tp_territorio","nu_altitude","nu_latitude","nu_longitude","vl_area_km2","vl_idhm"
1297,MA,210850,2110,MACRORREGIAO NORTE,21014,SANTA INES,PINDARE-MIRIM,2,21,NORDESTE,municipio,19,-3.609851,-45.341988,273.5299987792969,0.633
1298,MA,210860,2110,MACRORREGIAO NORTE,21011,PINHEIRO,PINHEIRO,2,21,NORDESTE,municipio,15,-2.522244,-45.078825,1512.969970703125,0.637
1299,MA,210870,2110,MACRORREGIAO NORTE,21014,SANTA INES,PIO XII,2,21,NORDESTE,municipio,0,-3.893151,-45.175942,545.1400146484375,0.541
1300,MA,210880,2110,MACRORREGIAO NORTE,21009,ITAPECURU MIRIM,PIRAPEMAS,2,21,NORDESTE,municipio,39,-3.720412,-44.221632,688.760009765625,0.576
1301,MA,210890,2111,MACRORREGIAO LESTE,21010,PEDREIRAS,POCAO DE PEDRAS,2,21,NORDESTE,municipio,90,-4.74626,-44.943199,990.4099731445312,0.576
1302,MA,210900,2109,MACRORREGIAO SUL,21008,IMPERATRIZ,PORTO FRANCO,2,21,NORDESTE,municipio,162,-6.34149,-47.396188,1417.489990234375,0.684
1303,MA,210905,2110,MACRORREGIAO NORTE,21011,PINHEIRO,PORTO RICO DO MARANHAO,2,21,NORDESTE,municipio,0,-1.859247,-44.584229,218.8300018310547,0.615
1304,MA,210910,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,PRESIDENTE DUTRA,2,21,NORDESTE,municipio,112,-5.289801,-44.49498,771.5700073242188,0.653
1305,MA,210920,2110,MACRORREGIAO NORTE,21013,ROSARIO,PRESIDENTE JUSCELINO,2,21,NORDESTE,municipio,15,-2.918724,-44.07148,354.70001220703125,0.563
1535,MG,311510,3101,SUL,31091,CASSIA,CASSIA,3,31,SUDESTE,municipio,738,-20.583061,-46.920122,665.7999877929688,0.704
1306,MA,210923,2110,MACRORREGIAO NORTE,21019,ZE DOCA,PRESIDENTE MEDICI,2,21,NORDESTE,municipio,0,-2.389908,-45.820014,437.69000244140625,0.591
1307,MA,210927,2110,MACRORREGIAO NORTE,21011,PINHEIRO,PRESIDENTE SARNEY,2,21,NORDESTE,municipio,29,-2.587991,-45.359492,724.1500244140625,0.557
1308,MA,210930,2110,MACRORREGIAO NORTE,21009,ITAPECURU MIRIM,PRESIDENTE VARGAS,2,21,NORDESTE,municipio,58,-3.407866,-44.023403,459.3599853515625,0.587
1309,MA,210940,2110,MACRORREGIAO NORTE,21013,ROSARIO,PRIMEIRA CRUZ,2,21,NORDESTE,municipio,16,-2.505679,-43.423159,1367.6800537109375,0.512
1310,MA,210945,2110,MACRORREGIAO NORTE,21016,SAO LUIS,RAPOSA,2,21,NORDESTE,municipio,3,-2.425399,-44.097343,66.27999877929688,0.626
1311,MA,210950,2109,MACRORREGIAO SUL,21003,BALSAS,RIACHAO,2,21,NORDESTE,municipio,383,-7.358189,-46.622528,6373.02001953125,0.576
1312,MA,210955,2109,MACRORREGIAO SUL,21008,IMPERATRIZ,RIBAMAR FIQUENE,2,21,NORDESTE,municipio,156,-5.930666,-47.388777,750.5499877929688,0.615
1313,MA,210960,2110,MACRORREGIAO NORTE,21013,ROSARIO,ROSARIO,2,21,NORDESTE,municipio,14,-2.934443,-44.253065,685.0399780273438,0.632
1314,MA,210970,2109,MACRORREGIAO SUL,21003,BALSAS,SAMBAIBA,2,21,NORDESTE,municipio,212,-7.134473,-45.351506,2478.699951171875,0.565
1315,MA,210975,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,SANTA FILOMENA DO MARANHAO,2,21,NORDESTE,municipio,180,-5.496706,-44.563763,623.2100219726562,0.525
1316,MA,210980,2110,MACRORREGIAO NORTE,21011,PINHEIRO,SANTA HELENA,2,21,NORDESTE,municipio,29,-2.244263,-45.289976,2308.18994140625,0.571
1317,MA,210990,2110,MACRORREGIAO NORTE,21014,SANTA INES,SANTA INES,2,21,NORDESTE,municipio,24,-3.651118,-45.37745,605.6199951171875,0.674
1318,MA,211000,2110,MACRORREGIAO NORTE,21014,SANTA INES,SANTA LUZIA,2,21,NORDESTE,municipio,60,-4.068726,-45.690026,5462.9599609375,0.550
1319,MA,211003,2110,MACRORREGIAO NORTE,21019,ZE DOCA,SANTA LUZIA DO PARUA,2,21,NORDESTE,municipio,0,-2.511229,-45.780137,897.1500244140625,0.599
1320,MA,211010,2110,MACRORREGIAO NORTE,21006,CHAPADINHA,SANTA QUITERIA DO MARANHAO,2,21,NORDESTE,municipio,36,-3.493085,-42.568771,1434.9000244140625,0.555
1321,MA,211020,2110,MACRORREGIAO NORTE,21013,ROSARIO,SANTA RITA,2,21,NORDESTE,municipio,28,-3.142409,-44.321078,706.3900146484375,0.609
1322,MA,211023,2110,MACRORREGIAO NORTE,21006,CHAPADINHA,SANTANA DO MARANHAO,2,21,NORDESTE,municipio,33,-3.109002,-42.406388,932.02001953125,0.510
1323,MA,211027,2110,MACRORREGIAO NORTE,21013,ROSARIO,SANTO AMARO DO MARANHAO,2,21,NORDESTE,municipio,10,-2.500681,-43.238033,1601.1800537109375,0.518
1004,GO,520880,5208,MACRORREGIAO CENTRO-OESTE,52001,CENTRAL,GOIANIRA,5,52,CENTRO-OESTE,municipio,757,-16.494746,-49.426998,209.0399932861328,0.694
1324,MA,211030,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,SANTO ANTONIO DOS LOPES,2,21,NORDESTE,municipio,129,-4.866134,-44.365278,770.9199829101562,0.566
1325,MA,211040,2110,MACRORREGIAO NORTE,21009,ITAPECURU MIRIM,SAO BENEDITO DO RIO PRETO,2,21,NORDESTE,municipio,34,-3.335147,-43.52872,931.47998046875,0.541
1326,MA,211050,2110,MACRORREGIAO NORTE,21018,VIANA,SAO BENTO,2,21,NORDESTE,municipio,2,-2.697812,-44.828927,459.07000732421875,0.602
1327,MA,211060,2110,MACRORREGIAO NORTE,21006,CHAPADINHA,SAO BERNARDO,2,21,NORDESTE,municipio,43,-3.372229,-42.41912,1006.9199829101562,0.572
1328,MA,211065,2111,MACRORREGIAO LESTE,21015,SAO JOAO DOS PATOS,SAO DOMINGOS DO AZEITAO,2,21,NORDESTE,municipio,308,-6.814706,-44.650882,960.9299926757812,0.590
1329,MA,211070,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,SAO DOMINGOS DO MARANHAO,2,21,NORDESTE,municipio,191,-5.580953,-44.382195,1151.97998046875,0.582
1330,MA,211080,2109,MACRORREGIAO SUL,21003,BALSAS,SAO FELIX DE BALSAS,2,21,NORDESTE,municipio,188,-7.075345,-44.809249,2032.3599853515625,0.557
4862,SP,350430,3518,RRAS9,35062,BAURU,AVAI,3,35,SUDESTE,municipio,481,-22.151409,-49.335596,540.4600219726562,0.714
1331,MA,211085,2109,MACRORREGIAO SUL,21001,ACAILANDIA,SAO FRANCISCO DO BREJAO,2,21,NORDESTE,municipio,255,-5.125844,-47.389018,745.6099853515625,0.584
1332,MA,211090,2111,MACRORREGIAO LESTE,21017,TIMON,SAO FRANCISCO DO MARANHAO,2,21,NORDESTE,municipio,76,-6.25159,-42.866767,2280.2099609375,0.528
1333,MA,211100,2110,MACRORREGIAO NORTE,21018,VIANA,SAO JOAO BATISTA,2,21,NORDESTE,municipio,29,-2.953978,-44.795324,690.6799926757812,0.598
1334,MA,211102,2110,MACRORREGIAO NORTE,21014,SANTA INES,SAO JOAO DO CARU,2,21,NORDESTE,municipio,50,-3.550305,-46.250694,908.0800170898438,0.509
1335,MA,211105,2109,MACRORREGIAO SUL,21008,IMPERATRIZ,SAO JOAO DO PARAISO,2,21,NORDESTE,municipio,230,-6.456341,-47.059355,2053.840087890625,0.609
5429,SP,355500,3533,RRAS10,35095,TUPA,TUPA,3,35,SUDESTE,municipio,524,-21.933528,-50.519113,628.1300048828125,0.771
1336,MA,211107,2111,MACRORREGIAO LESTE,21005,CAXIAS,SAO JOAO DO SOTER,2,21,NORDESTE,municipio,153,-5.10821,-43.816257,1438.0699462890625,0.517
1337,MA,211110,2111,MACRORREGIAO LESTE,21015,SAO JOAO DOS PATOS,SAO JOAO DOS PATOS,2,21,NORDESTE,municipio,328,-6.4934,-43.703623,1482.6600341796875,0.615
1338,MA,211120,2110,MACRORREGIAO NORTE,21016,SAO LUIS,SAO JOSE DE RIBAMAR,2,21,NORDESTE,municipio,20,-2.54704,-44.059745,388.3699951171875,0.708
3018,PI,220140,2208,MEIO NORTE,22004,ENTRE RIOS,BARRO DURO,2,22,NORDESTE,municipio,200,-5.816732,-42.514656,131.1199951171875,0.612
1339,MA,211125,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,SAO JOSE DOS BASILIOS,2,21,NORDESTE,municipio,80,-5.054931,-44.580937,353.2300109863281,0.557
1340,MA,211130,2110,MACRORREGIAO NORTE,21016,SAO LUIS,SAO LUIS,2,21,NORDESTE,municipio,24,-2.538742,-44.282513,834.7899780273438,0.768
1341,MA,211140,2110,MACRORREGIAO NORTE,21002,BACABAL,SAO LUIS GONZAGA DO MARANHAO,2,21,NORDESTE,municipio,44,-4.385409,-44.665404,968.5700073242188,0.540
1342,MA,211150,2111,MACRORREGIAO LESTE,21007,CODO,SAO MATEUS DO MARANHAO,2,21,NORDESTE,municipio,44,-4.037361,-44.470691,783.219970703125,0.616
1343,MA,211153,2109,MACRORREGIAO SUL,21001,ACAILANDIA,SAO PEDRO DA AGUA BRANCA,2,21,NORDESTE,municipio,171,-5.084718,-48.429117,720.4500122070312,0.605
1344,MA,211157,2109,MACRORREGIAO SUL,21003,BALSAS,SAO PEDRO DOS CRENTES,2,21,NORDESTE,municipio,342,-6.823889,-46.531864,979.6300048828125,0.600
1345,MA,211160,2109,MACRORREGIAO SUL,21003,BALSAS,SAO RAIMUNDO DAS MANGABEIRAS,2,21,NORDESTE,municipio,225,-7.021834,-45.48088,3521.530029296875,0.610
1346,MA,211163,2111,MACRORREGIAO LESTE,21010,PEDREIRAS,SAO RAIMUNDO DO DOCA BEZERRA,2,21,NORDESTE,municipio,180,-5.110532,-45.069554,419.3500061035156,0.516
1348,MA,211170,2110,MACRORREGIAO NORTE,21018,VIANA,SAO VICENTE FERRER,2,21,NORDESTE,municipio,16,-2.894871,-44.868074,390.8500061035156,0.592
1349,MA,211172,2110,MACRORREGIAO NORTE,21014,SANTA INES,SATUBINHA,2,21,NORDESTE,municipio,0,-4.049131,-45.245716,441.80999755859375,0.493
1350,MA,211174,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,SENADOR ALEXANDRE COSTA,2,21,NORDESTE,municipio,149,-5.250956,-44.053347,426.44000244140625,0.538
2943,PE,261160,2607,METROPOLITANA,26010,RECIFE,RECIFE,2,26,NORDESTE,municipio,4,-8.046658,-34.877065,218.44000244140625,0.772
1351,MA,211176,2109,MACRORREGIAO SUL,21008,IMPERATRIZ,SENADOR LA ROCQUE,2,21,NORDESTE,municipio,180,-5.446098,-47.295941,738.5499877929688,0.602
1352,MA,211178,2110,MACRORREGIAO NORTE,21011,PINHEIRO,SERRANO DO MARANHAO,2,21,NORDESTE,municipio,0,-1.852285,-45.120735,1165.8599853515625,0.519
1353,MA,211180,2109,MACRORREGIAO SUL,21008,IMPERATRIZ,SITIO NOVO,2,21,NORDESTE,municipio,260,-5.876006,-46.703329,3114.8701171875,0.564
1354,MA,211190,2111,MACRORREGIAO LESTE,21015,SAO JOAO DOS PATOS,SUCUPIRA DO NORTE,2,21,NORDESTE,municipio,485,-6.478392,-44.191889,1074.469970703125,0.579
1355,MA,211195,2111,MACRORREGIAO LESTE,21015,SAO JOAO DOS PATOS,SUCUPIRA DO RIACHAO,2,21,NORDESTE,municipio,290,-6.408584,-43.545472,863.9099731445312,0.568
1356,MA,211200,2109,MACRORREGIAO SUL,21003,BALSAS,TASSO FRAGOSO,2,21,NORDESTE,municipio,242,-8.466203,-45.753647,4382.97998046875,0.599
1359,MA,211223,2111,MACRORREGIAO LESTE,21010,PEDREIRAS,TRIZIDELA DO VALE,2,21,NORDESTE,municipio,0,-4.538,-44.628,222.9499969482422,0.606
1360,MA,211227,2110,MACRORREGIAO NORTE,21014,SANTA INES,TUFILANDIA,2,21,NORDESTE,municipio,0,-3.67355,-45.623781,271.010009765625,0.555
1361,MA,211230,2111,MACRORREGIAO LESTE,21012,PRESIDENTE DUTRA,TUNTUM,2,21,NORDESTE,municipio,320,-5.254761,-44.644367,3369.1201171875,0.572
1362,MA,211240,2110,MACRORREGIAO NORTE,21011,PINHEIRO,TURIACU,2,21,NORDESTE,municipio,5,-1.658925,-45.379791,2578.5,0.561
1363,MA,211245,2110,MACRORREGIAO NORTE,21011,PINHEIRO,TURILANDIA,2,21,NORDESTE,municipio,0,-2.216382,-45.304411,1511.8599853515625,0.536
1364,MA,211250,2110,MACRORREGIAO NORTE,21006,CHAPADINHA,TUTOIA,2,21,NORDESTE,municipio,20,-2.761413,-42.275531,1651.6600341796875,0.561
1365,MA,211260,2110,MACRORREGIAO NORTE,21009,ITAPECURU MIRIM,URBANO SANTOS,2,21,NORDESTE,municipio,41,-3.206417,-43.387838,1708.2900390625,0.588
1366,MA,211270,2110,MACRORREGIAO NORTE,21009,ITAPECURU MIRIM,VARGEM GRANDE,2,21,NORDESTE,municipio,43,-3.536385,-43.91696,1957.75,0.542
1367,MA,211280,2110,MACRORREGIAO NORTE,21018,VIANA,VIANA,2,21,NORDESTE,municipio,22,-3.20451,-44.991177,1168.43994140625,0.618
1368,MA,211285,2109,MACRORREGIAO SUL,21001,ACAILANDIA,VILA NOVA DOS MARTIRIOS,2,21,NORDESTE,municipio,307,-5.18889,-48.133611,1188.780029296875,0.581
1369,MA,211290,2110,MACRORREGIAO NORTE,21009,ITAPECURU MIRIM,VITORIA DO MEARIM,2,21,NORDESTE,municipio,13,-3.451248,-44.864299,716.719970703125,0.596
1370,MA,211300,2110,MACRORREGIAO NORTE,21002,BACABAL,VITORINO FREIRE,2,21,NORDESTE,municipio,50,-4.281836,-45.250524,1193.3900146484375,0.570
1371,MA,211400,2110,MACRORREGIAO NORTE,21019,ZE DOCA,ZE DOCA,2,21,NORDESTE,municipio,0,-3.270145,-45.655344,2140.110107421875,0.595
2997,PI,220005,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,ACAUA,2,22,NORDESTE,municipio,374,-8.219542,-41.083059,1279.5899658203125,0.528
2998,PI,220010,2208,MEIO NORTE,22004,ENTRE RIOS,AGRICOLANDIA,2,22,NORDESTE,municipio,230,-5.796763,-42.666371,112.43000030517578,0.599
2999,PI,220020,2208,MEIO NORTE,22004,ENTRE RIOS,AGUA BRANCA,2,22,NORDESTE,municipio,240,-5.888564,-42.636961,97.04000091552734,0.639
3000,PI,220025,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,ALAGOINHA DO PIAUI,2,22,NORDESTE,municipio,375,-7.000392,-40.92817,532.97998046875,0.531
3001,PI,220027,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,ALEGRETE DO PIAUI,2,22,NORDESTE,municipio,0,-7.241964,-40.856587,282.7099914550781,0.585
3002,PI,220030,2208,MEIO NORTE,22004,ENTRE RIOS,ALTO LONGA,2,22,NORDESTE,municipio,170,-5.256341,-42.209582,1737.8399658203125,0.585
3003,PI,220040,2208,MEIO NORTE,22004,ENTRE RIOS,ALTOS,2,22,NORDESTE,municipio,180,-5.038879,-42.46116,957.6599731445312,0.614
3004,PI,220045,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,ALVORADA DO GURGUEIA,2,22,NORDESTE,municipio,281,-8.424183,-43.777016,2131.919921875,0.578
3005,PI,220050,2208,MEIO NORTE,22004,ENTRE RIOS,AMARANTE,2,22,NORDESTE,municipio,104,-6.243045,-42.843343,1155.199951171875,0.598
3006,PI,220060,2208,MEIO NORTE,22004,ENTRE RIOS,ANGICAL DO PIAUI,2,22,NORDESTE,municipio,192,-6.087864,-42.740047,223.44000244140625,0.630
3007,PI,220070,2210,CERRADOS,22006,SERRA DA CAPIVARA,ANISIO DE ABREU,2,22,NORDESTE,municipio,440,-9.185643,-43.04941,337.8800048828125,0.594
3008,PI,220080,2210,CERRADOS,22007,TABULEIROS DO ALTO PARNAIBA,ANTONIO ALMEIDA,2,22,NORDESTE,municipio,240,-7.212759,-44.188929,645.75,0.620
3009,PI,220090,2207,SEMI-ARIDO,22010,VALE DO SAMBITO,AROAZES,2,22,NORDESTE,municipio,230,-6.110221,-41.78218,821.6599731445312,0.583
3011,PI,220100,2210,CERRADOS,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,ARRAIAL,2,22,NORDESTE,municipio,155,-6.650753,-42.541809,682.760009765625,0.560
3012,PI,220105,2208,MEIO NORTE,22001,CARNAUBAIS,ASSUNCAO DO PIAUI,2,22,NORDESTE,municipio,532,-5.864996,-41.038851,1690.699951171875,0.499
3013,PI,220110,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,AVELINO LOPES,2,22,NORDESTE,municipio,437,-10.134487,-43.956305,1305.52001953125,0.554
3014,PI,220115,2210,CERRADOS,22007,TABULEIROS DO ALTO PARNAIBA,BAIXA GRANDE DO RIBEIRO,2,22,NORDESTE,municipio,325,-7.849031,-45.218977,7808.91015625,0.564
3015,PI,220117,2207,SEMI-ARIDO,22010,VALE DO SAMBITO,BARRA D'ALCANTARA,2,22,NORDESTE,municipio,310,-6.516453,-42.114609,263.3800048828125,0.577
3016,PI,220120,2209,LITORAL,22003,COCAIS,BARRAS,2,22,NORDESTE,municipio,70,-4.244675,-42.292161,1719.800048828125,0.595
3017,PI,220130,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,BARREIRAS DO PIAUI,2,22,NORDESTE,municipio,400,-9.929605,-45.470172,2028.300048828125,0.557
3019,PI,220150,2209,LITORAL,22003,COCAIS,BATALHA,2,22,NORDESTE,municipio,150,-4.0223,-42.07868,1588.9000244140625,0.545
3020,PI,220155,2207,SEMI-ARIDO,22008,VALE DO CANINDE,BELA VISTA DO PIAUI,2,22,NORDESTE,municipio,330,-7.988091,-41.867522,499.3900146484375,0.576
3021,PI,220157,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,BELEM DO PIAUI,2,22,NORDESTE,municipio,340,-7.366524,-40.968786,243.27999877929688,0.551
3022,PI,220160,2208,MEIO NORTE,22004,ENTRE RIOS,BENEDITINOS,2,22,NORDESTE,municipio,150,-5.456758,-42.36382,788.5800170898438,0.557
3023,PI,220170,2210,CERRADOS,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,BERTOLINIA,2,22,NORDESTE,municipio,271,-7.633377,-43.949778,1225.3399658203125,0.612
3024,PI,220173,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,BETANIA DO PIAUI,2,22,NORDESTE,municipio,480,-8.143761,-40.79891,564.7100219726562,0.489
3025,PI,220177,2208,MEIO NORTE,22001,CARNAUBAIS,BOA HORA,2,22,NORDESTE,municipio,121,-4.414041,-42.135748,337.57000732421875,0.575
3026,PI,220180,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,BOCAINA,2,22,NORDESTE,municipio,235,-6.941236,-41.316752,268.5799865722656,0.632
3027,PI,220190,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,BOM JESUS,2,22,NORDESTE,municipio,277,-9.071239,-44.358951,5469.18017578125,0.668
3028,PI,220191,2209,LITORAL,22005,PLANICIE LITORANEA,BOM PRINCIPIO DO PIAUI,2,22,NORDESTE,municipio,70,-3.196314,-41.640333,521.5700073242188,0.532
3029,PI,220192,2210,CERRADOS,22006,SERRA DA CAPIVARA,BONFIM DO PIAUI,2,22,NORDESTE,municipio,0,-9.160502,-42.886482,289.2099914550781,0.542
3030,PI,220194,2208,MEIO NORTE,22001,CARNAUBAIS,BOQUEIRAO DO PIAUI,2,22,NORDESTE,municipio,123,-4.481806,-42.121232,278.29998779296875,0.560
3031,PI,220196,2209,LITORAL,22003,COCAIS,BRASILEIRA,2,22,NORDESTE,municipio,180,-4.133696,-41.785855,880.9099731445312,0.577
3032,PI,220198,2210,CERRADOS,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,BREJO DO PIAUI,2,22,NORDESTE,municipio,297,-8.20314,-42.822917,2183.360107421875,0.515
3033,PI,220200,2209,LITORAL,22005,PLANICIE LITORANEA,BURITI DOS LOPES,2,22,NORDESTE,municipio,50,-3.182592,-41.869481,691.1799926757812,0.565
3034,PI,220202,2208,MEIO NORTE,22001,CARNAUBAIS,BURITI DOS MONTES,2,22,NORDESTE,municipio,500,-5.30584,-41.093349,2652.110107421875,0.574
3035,PI,220205,2208,MEIO NORTE,22001,CARNAUBAIS,CABECEIRAS DO PIAUI,2,22,NORDESTE,municipio,0,-4.4773,-42.306889,608.530029296875,0.583
3036,PI,220207,2207,SEMI-ARIDO,22008,VALE DO CANINDE,CAJAZEIRAS DO PIAUI,2,22,NORDESTE,municipio,157,-6.796667,-42.390278,514.3599853515625,0.562
3037,PI,220208,2209,LITORAL,22005,PLANICIE LITORANEA,CAJUEIRO DA PRAIA,2,22,NORDESTE,municipio,10,-2.931114,-41.340801,271.7099914550781,0.546
3038,PI,220209,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,CALDEIRAO GRANDE DO PIAUI,2,22,NORDESTE,municipio,0,-7.331404,-40.6366,494.8900146484375,0.588
3039,PI,220210,2207,SEMI-ARIDO,22008,VALE DO CANINDE,CAMPINAS DO PIAUI,2,22,NORDESTE,municipio,230,-7.659299,-41.877487,831.2000122070312,0.544
3040,PI,220211,2210,CERRADOS,22006,SERRA DA CAPIVARA,CAMPO ALEGRE DO FIDALGO,2,22,NORDESTE,municipio,330,-8.382357,-41.834399,657.7999877929688,0.537
3041,PI,220213,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,CAMPO GRANDE DO PIAUI,2,22,NORDESTE,municipio,440,-7.128274,-41.031486,311.8299865722656,0.560
3042,PI,220217,2209,LITORAL,22003,COCAIS,CAMPO LARGO DO PIAUI,2,22,NORDESTE,municipio,60,-3.804411,-42.639991,477.79998779296875,0.528
3043,PI,220220,2208,MEIO NORTE,22001,CARNAUBAIS,CAMPO MAIOR,2,22,NORDESTE,municipio,125,-4.821697,-42.164124,1675.7099609375,0.656
3044,PI,220225,2210,CERRADOS,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,CANAVIEIRA,2,22,NORDESTE,municipio,180,-7.688215,-43.72333,2162.8701171875,0.583
3045,PI,220230,2210,CERRADOS,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,CANTO DO BURITI,2,22,NORDESTE,municipio,269,-8.111101,-42.951721,4325.64013671875,0.576
3046,PI,220240,2209,LITORAL,22003,COCAIS,CAPITAO DE CAMPOS,2,22,NORDESTE,municipio,130,-4.457,-41.943999,592.1699829101562,0.583
3047,PI,220245,2210,CERRADOS,22006,SERRA DA CAPIVARA,CAPITAO GERVASIO OLIVEIRA,2,22,NORDESTE,municipio,400,-8.496548,-41.813973,1134.1700439453125,0.553
3048,PI,220250,2210,CERRADOS,22006,SERRA DA CAPIVARA,CARACOL,2,22,NORDESTE,municipio,566,-9.279333,-43.328998,1610.9599609375,0.552
3109,PI,220555,2208,MEIO NORTE,22004,ENTRE RIOS,LAGOA ALEGRE,2,22,NORDESTE,municipio,0,-4.515394,-42.630876,394.6600036621094,0.550
3049,PI,220253,2209,LITORAL,22005,PLANICIE LITORANEA,CARAUBAS DO PIAUI,2,22,NORDESTE,municipio,50,-3.475249,-41.842517,471.45001220703125,0.505
3050,PI,220255,2207,SEMI-ARIDO,22009,VALE DO RIO GUARIBAS,CARIDADE DO PIAUI,2,22,NORDESTE,municipio,347,-7.734349,-40.984763,501.3599853515625,0.541
27,TO,170000,,,,,Estado de Tocantins,1,17,NORTE,estado,,-10.20779,-48.35627,,
927,GO,520140,5210,MACRORREGIAO CENTRO SUDESTE,52002,CENTRO SUL,APARECIDA DE GOIANIA,5,52,CENTRO-OESTE,municipio,808,-16.819804,-49.246856,288.1199951171875,0.718
4,AP,160000,,,,,Estado do Amapa,1,16,NORTE,estado,,-0.03672,-51.06,,
3051,PI,220260,2208,MEIO NORTE,22001,CARNAUBAIS,CASTELO DO PIAUI,2,22,NORDESTE,municipio,239,-5.318693,-41.549865,2035.18994140625,0.587
4737,SC,422000,4210,SUL,42015,CARBONIFERA,BALNEARIO RINCAO,4,42,SUL,municipio,,-28.831428,-49.235195,64.63999938964844,0.000
690,CE,230370,2310,"1ª MACRO - FORTALEZA",23002,"2ª REGIAO CAUCAIA",CAUCAIA,2,23,NORDESTE,municipio,29,-3.727966,-38.661931,1228.510009765625,0.682
3052,PI,220265,2209,LITORAL,22005,PLANICIE LITORANEA,CAXINGO,2,22,NORDESTE,municipio,13,-3.419044,-41.895476,488.1700134277344,0.488
2518,PA,150475,1510,MACRORREGIONAL III ,15002,BAIXO AMAZONAS,MOJUI DOS CAMPOS,1,15,NORTE,municipio,0,-2.682215,-54.642476,4988.240234375,0.000
4635,SC,421265,4210,SUL,42016,LAGUNA,PESCARIA BRAVA,4,42,SUL,municipio,,-28.396631,-48.886381,105.16999816894531,0.000
3053,PI,220270,2209,LITORAL,22005,PLANICIE LITORANEA,COCAL,2,22,NORDESTE,municipio,160,-3.472792,-41.554623,1303.68994140625,0.497
3054,PI,220271,2208,MEIO NORTE,22001,CARNAUBAIS,COCAL DE TELHA,2,22,NORDESTE,municipio,140,-4.557098,-41.958668,282.1099853515625,0.555
3055,PI,220272,2209,LITORAL,22005,PLANICIE LITORANEA,COCAL DOS ALVES,2,22,NORDESTE,municipio,100,-3.620471,-41.440197,357.69000244140625,0.498
3056,PI,220273,2208,MEIO NORTE,22004,ENTRE RIOS,COIVARAS,2,22,NORDESTE,municipio,190,-5.092242,-42.207951,485.5,0.565
3057,PI,220275,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,COLONIA DO GURGUEIA,2,22,NORDESTE,municipio,216,-8.183697,-43.793999,430.6199951171875,0.628
3058,PI,220277,2207,SEMI-ARIDO,22008,VALE DO CANINDE,COLONIA DO PIAUI,2,22,NORDESTE,municipio,0,-7.226512,-42.175555,947.8699951171875,0.588
3059,PI,220280,2207,SEMI-ARIDO,22008,VALE DO CANINDE,CONCEICAO DO CANINDE,2,22,NORDESTE,municipio,252,-7.876378,-41.594193,831.4099731445312,0.589
12,MS,500000,,,,,Estado do Mato Grosso do Sul,5,50,CENTRO-OESTE,estado,,-20.43909,-54.6413,,
4263,RS,431454,4310,SERRA,43025,REGIAO 25,PINTO BANDEIRA,4,43,SUL,municipio,0,-29.09752,-51.45035,105.06999969482422,0.000
3060,PI,220285,2210,CERRADOS,22006,SERRA DA CAPIVARA,CORONEL JOSE DIAS,2,22,NORDESTE,municipio,0,-8.813971,-42.523195,1914.8199462890625,0.546
3061,PI,220290,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,CORRENTE,2,22,NORDESTE,municipio,438,-10.433349,-45.163348,3048.449951171875,0.642
3062,PI,220300,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,CRISTALANDIA DO PIAUI,2,22,NORDESTE,municipio,469,-10.644311,-45.189262,1202.9000244140625,0.573
3063,PI,220310,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,CRISTINO CASTRO,2,22,NORDESTE,municipio,239,-8.822731,-44.222972,1846.3399658203125,0.566
3064,PI,220320,2210,CERRADOS,22002,CHAPADA DAS MANGABEIRAS,CURIMATA,2,22,NORDESTE,municipio,328,-10.032608,-44.3002,2337.5400390625,0.607
